         1248401 function calls (1153009 primitive calls) in 14.355 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1305    0.002    0.000    0.069    0.000 tf_inspect.py:98(getargspec)
     1927    0.068    0.000    0.068    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.000    0.000    0.066    0.066 v1.py:19(<module>)
      759    0.002    0.000    0.064    0.000 re.py:271(_compile)
     1305    0.002    0.000    0.064    0.000 tf_inspect.py:55(_getargspec)
      159    0.000    0.000    0.062    0.000 re.py:232(compile)
        1    0.000    0.000    0.062    0.062 structure.py:15(<module>)
      165    0.001    0.000    0.061    0.000 sre_compile.py:759(compile)
        1    0.000    0.000    0.059    0.059 imdb.py:16(<module>)
        1    0.000    0.000    0.053    0.053 image.py:18(<module>)
      340    0.033    0.000    0.051    0.000 __init__.py:316(namedtuple)
        1    0.000    0.000    0.050    0.050 pywrap_tensorflow_internal.py:11(<module>)
     1684    0.005    0.000    0.049    0.000 inspect.py:2198(_signature_from_callable)
        1    0.000    0.000    0.049    0.049 data_utils.py:1(<module>)
        1    0.000    0.000    0.047    0.047 hdf5_format.py:17(<module>)
     1684    0.015    0.000    0.043    0.000 inspect.py:2117(_signature_from_function)
     2021    0.008    0.000    0.043    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        1    0.000    0.000    0.041    0.041 training.py:16(<module>)
        1    0.000    0.000    0.040    0.040 lite.py:15(<module>)
        1    0.000    0.000    0.040    0.040 pywrap_tensorflow_internal.py:13(swig_import_helper)
     3071    0.002    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
        2    0.000    0.000    0.039    0.019 imp.py:219(load_module)
        2    0.000    0.000    0.039    0.019 imp.py:330(load_dynamic)
        2    0.000    0.000    0.039    0.019 <frozen importlib._bootstrap>:686(_load)
        1    0.000    0.000    0.037    0.037 math_ops.py:68(<module>)
      283    0.019    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
        1    0.000    0.000    0.036    0.036 cross_device_ops.py:15(<module>)
        1    0.000    0.000    0.036    0.036 array_ops.py:16(<module>)
        1    0.000    0.000    0.035    0.035 image_data_generator.py:2(<module>)
        1    0.000    0.000    0.035    0.035 summary.py:29(<module>)
        1    0.000    0.000    0.034    0.034 ragged_batch_gather_with_default_op.py:15(<module>)
      165    0.001    0.000    0.034    0.000 sre_parse.py:919(parse)
        1    0.000    0.000    0.033    0.033 __init__.py:189(<module>)
     3854    0.012    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
        1    0.000    0.000    0.033    0.033 vis_utils.py:1(<module>)
        1    0.000    0.000    0.033    0.033 training_arrays.py:16(<module>)
        1    0.000    0.000    0.033    0.033 api.py:15(<module>)
        2    0.000    0.000    0.033    0.016 __init__.py:3233(_call_aside)
        1    0.000    0.000    0.033    0.033 __init__.py:3250(_initialize_master_working_set)
        1    0.000    0.000    0.033    0.033 summary_v2.py:26(<module>)
  543/165    0.002    0.000    0.032    0.000 sre_parse.py:417(_parse_sub)
        2    0.000    0.000    0.032    0.016 tensor_util.py:15(<module>)
        1    0.000    0.000    0.032    0.032 tpu_strategy.py:15(<module>)
  752/174    0.012    0.000    0.032    0.000 sre_parse.py:475(_parse)
        1    0.000    0.000    0.032    0.032 models.py:2(<module>)
        1    0.000    0.000    0.032    0.032 requirements.py:4(<module>)
        1    0.000    0.000    0.032    0.032 cross_device_utils.py:15(<module>)
        1    0.000    0.000    0.032    0.032 ragged_dispatch.py:15(<module>)
        2    0.000    0.000    0.031    0.016 app.py:16(<module>)
      374    0.031    0.000    0.031    0.000 {built-in method nt.listdir}
      286    0.003    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
       15    0.000    0.000    0.030    0.002 six.py:91(__get__)
       15    0.000    0.000    0.030    0.002 six.py:80(_import_module)
       10    0.000    0.000    0.030    0.003 six.py:159(_resolve)
       22    0.001    0.000    0.029    0.001 __init__.py:7(<module>)
      317    0.001    0.000    0.029    0.000 overrides.py:154(decorator)
        1    0.000    0.000    0.028    0.028 test.py:22(<module>)
    15221    0.011    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
        1    0.000    0.000    0.027    0.027 app.py:26(<module>)
        1    0.000    0.000    0.027    0.027 request.py:68(<module>)
        1    0.000    0.000    0.027    0.027 converter.py:60(<module>)
        1    0.000    0.000    0.026    0.026 test_util.py:17(<module>)
        1    0.000    0.000    0.026    0.026 model_config.py:17(<module>)
     3925    0.003    0.000    0.026    0.000 <frozen importlib._bootstrap>:403(cached)
      165    0.000    0.000    0.026    0.000 sre_compile.py:598(_code)
     2466    0.002    0.000    0.026    0.000 <frozen importlib._bootstrap>:147(__enter__)
        1    0.000    0.000    0.025    0.025 values.py:15(<module>)
    13/12    0.000    0.000    0.025    0.002 <frozen importlib._bootstrap>:634(_load_backward_compatible)
        6    0.000    0.000    0.025    0.004 __init__.py:35(load_module)
        1    0.000    0.000    0.025    0.025 training.py:19(<module>)
       16    0.000    0.000    0.025    0.002 __init__.py:611(add_entry)
        1    0.000    0.000    0.025    0.025 gen_boosted_trees_ops.py:4(<module>)
        2    0.000    0.000    0.024    0.012 __init__.py:3(<module>)
       88    0.000    0.000    0.024    0.000 __init__.py:2037(find_on_path)
     5134    0.011    0.000    0.024    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        1    0.000    0.000    0.024    0.024 __init__.py:219(<module>)
     1998    0.003    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
        3    0.000    0.000    0.023    0.008 save.py:15(<module>)
        1    0.000    0.000    0.023    0.023 variables.py:15(<module>)
        1    0.000    0.000    0.023    0.023 distribute_lib.py:92(<module>)
        1    0.000    0.000    0.023    0.023 linalg.py:15(<module>)
        1    0.022    0.022    0.022    0.022 {namedWindow}
     3578    0.007    0.000    0.022    0.000 tf_export.py:255(__init__)
        1    0.000    0.000    0.022    0.022 client.py:69(<module>)
        2    0.001    0.000    0.022    0.011 config_pb2.py:5(<module>)
        1    0.000    0.000    0.021    0.021 sparse_tensor.py:15(<module>)
        2    0.000    0.000    0.021    0.010 __init__.py:45(<module>)
     1738    0.010    0.000    0.020    0.000 tf_decorator.py:67(make_decorator)
        1    0.000    0.000    0.020    0.020 tpu.py:16(<module>)
        1    0.000    0.000    0.020    0.020 __init__.py:124(<module>)
      308    0.001    0.000    0.020    0.000 interpreter.py:332(set_tensor)
        1    0.000    0.000    0.020    0.020 stats_options.py:17(<module>)
        2    0.000    0.000    0.020    0.010 load.py:15(<module>)
     3476    0.006    0.000    0.019    0.000 tf_export.py:312(__call__)
        1    0.000    0.000    0.019    0.019 stats_aggregator.py:15(<module>)
        1    0.000    0.000    0.019    0.019 _pickle.py:1(<module>)
 1250/165    0.006    0.000    0.019    0.000 sre_compile.py:71(_compile)
        1    0.000    0.000    0.019    0.019 dnn.py:15(<module>)
      308    0.001    0.000    0.018    0.000 tensorflow_wrap_interpreter_wrapper.py:135(SetTensor)
      286    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
        1    0.000    0.000    0.018    0.018 losses_impl.py:15(<module>)
      308    0.018    0.000    0.018    0.000 {built-in method _tensorflow_wrap_interpreter_wrapper.InterpreterWrapper_SetTensor}
        1    0.000    0.000    0.018    0.018 multiarray.py:7(<module>)
        1    0.000    0.000    0.018    0.018 distributions.py:15(<module>)
        1    0.000    0.000    0.018    0.018 parameterized.py:158(<module>)
    27712    0.017    0.000    0.017    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.017    0.017 index_tricks.py:1(<module>)
        1    0.000    0.000    0.017    0.017 pyparsing.py:75(<module>)
        1    0.000    0.000    0.017    0.017 tpu_estimator.py:15(<module>)
        1    0.000    0.000    0.017    0.017 nn.py:20(<module>)
     7970    0.010    0.000    0.017    0.000 inspect.py:2467(__init__)
      374    0.003    0.000    0.017    0.000 module_wrapper.py:85(__init__)
        1    0.000    0.000    0.017    0.017 conversion.py:15(<module>)
        1    0.000    0.000    0.016    0.016 absltest.py:19(<module>)
       52    0.001    0.000    0.016    0.000 op_def_library.py:303(add_op_list)
        1    0.001    0.001    0.016    0.016 gen_nn_ops.py:4(<module>)
        1    0.000    0.000    0.016    0.016 loader.py:2(<module>)
        1    0.000    0.000    0.016    0.016 optimizers.py:16(<module>)
        1    0.000    0.000    0.016    0.016 gen_sparse_ops.py:4(<module>)
        1    0.000    0.000    0.016    0.016 audio_microfrontend_op.py:15(<module>)
        1    0.000    0.000    0.016    0.016 sequential.py:2(<module>)
        5    0.000    0.000    0.016    0.003 __init__.py:10(<module>)
     1228    0.002    0.000    0.016    0.000 op_def_library.py:292(add_op)
      148    0.000    0.000    0.015    0.000 __init__.py:2124(distributions_from_metadata)
      300    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
     2668    0.003    0.000    0.015    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
        1    0.000    0.000    0.015    0.015 overrides.py:1(<module>)
        1    0.000    0.000    0.014    0.014 files.py:12(<module>)
     6897    0.007    0.000    0.014    0.000 tf_decorator.py:200(unwrap)
        1    0.001    0.001    0.014    0.014 gen_math_ops.py:4(<module>)
        1    0.000    0.000    0.014    0.014 _internal.py:6(<module>)
      256    0.001    0.000    0.014    0.000 deprecation.py:308(deprecated_wrapper)
        1    0.000    0.000    0.014    0.014 load_library.py:38(load_op_library)
      317    0.014    0.000    0.014    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.014    0.014 backend.py:19(<module>)
     3578    0.009    0.000    0.014    0.000 tf_export.py:283(_validate_symbol_names)
     1228    0.009    0.000    0.014    0.000 op_def_library.py:235(__init__)
     1253    0.003    0.000    0.014    0.000 functools.py:37(update_wrapper)
        1    0.000    0.000    0.014    0.014 feature_column_lib.py:15(<module>)
        1    0.000    0.000    0.014    0.014 affine_transformations.py:2(<module>)
        1    0.000    0.000    0.013    0.013 adjoint_registrations.py:15(<module>)
    15221    0.010    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
        1    0.000    0.000    0.013    0.013 context.py:15(<module>)
      565    0.011    0.000    0.013    0.000 sre_compile.py:276(_optimize_charset)
        1    0.000    0.000    0.013    0.013 numeric.py:1(<module>)
        1    0.000    0.000    0.013    0.013 __init__.py:569(_build_master)
        1    0.000    0.000    0.013    0.013 __init__.py:556(__init__)
        2    0.000    0.000    0.013    0.006 gradients.py:15(<module>)
       26    0.000    0.000    0.013    0.000 pyparsing.py:2779(__init__)
        1    0.000    0.000    0.013    0.013 tracking.py:1(<module>)
      317    0.001    0.000    0.012    0.000 decorator_utils.py:76(add_notice_to_docstring)
        1    0.000    0.000    0.012    0.012 group.py:12(<module>)
        1    0.001    0.001    0.012    0.012 gen_array_ops.py:4(<module>)
        1    0.000    0.000    0.012    0.012 platform.py:10(<module>)
        1    0.000    0.000    0.012    0.012 variable_scope.py:15(<module>)
        2    0.001    0.000    0.012    0.006 meta_graph_pb2.py:5(<module>)
        1    0.000    0.000    0.012    0.012 gradients_impl.py:15(<module>)
        7    0.000    0.000    0.012    0.002 metadata.py:15(<module>)
        1    0.000    0.000    0.012    0.012 ragged_array_ops.py:15(<module>)
        1    0.000    0.000    0.012    0.012 gen_data_flow_ops.py:4(<module>)
     2574    0.003    0.000    0.012    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.012    0.012 parser.py:5(<module>)
     2000    0.003    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
        1    0.000    0.000    0.011    0.011 dense_features_v2.py:15(<module>)
