         1248401 function calls (1153009 primitive calls) in 14.355 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       48    0.000    0.000    0.000    0.000 os.py:673(__getitem__)
        1    0.000    0.000    0.000    0.000 importer.py:4(<module>)
        1    0.000    0.000    0.000    0.000 config_lib.py:15(<module>)
        1    0.000    0.000    0.000    0.000 supervisor.py:43(Supervisor)
      138    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
        1    0.000    0.000    0.000    0.000 variables.py:1048(_OverloadAllOperators)
        1    0.000    0.000    0.000    0.000 critical_section_ops.py:15(<module>)
     15/4    0.000    0.000    0.000    0.000 pyparsing.py:3762(streamline)
      330    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
        1    0.000    0.000    0.000    0.000 reduce_util.py:15(<module>)
      135    0.000    0.000    0.000    0.000 text_format.py:1251(TryConsume)
        1    0.000    0.000    0.000    0.000 events.py:4(<module>)
       58    0.000    0.000    0.000    0.000 deprecation.py:385(_get_arg_names_to_ok_vals)
      149    0.000    0.000    0.000    0.000 dispatch.py:71(register)
        3    0.000    0.000    0.000    0.000 pyparsing.py:1877(__mul__)
        4    0.000    0.000    0.000    0.000 enum.py:793(_missing_)
      308    0.000    0.000    0.000    0.000 shape_base.py:508(_expand_dims_dispatcher)
        1    0.000    0.000    0.000    0.000 gen_sdca_ops.py:803(_InitOpDefLibrary)
       15    0.000    0.000    0.000    0.000 test_util.py:1118(py_func_if_in_function)
      614    0.000    0.000    0.000    0.000 _inspect.py:43(iscode)
        9    0.000    0.000    0.000    0.000 monitoring.py:104(__init__)
        1    0.000    0.000    0.000    0.000 base.py:15(<module>)
        1    0.000    0.000    0.000    0.000 all_util.py:16(<module>)
        8    0.000    0.000    0.000    0.000 hashlib.py:73(__get_builtin_constructor)
        1    0.000    0.000    0.000    0.000 unconnected_gradients.py:16(<module>)
       16    0.000    0.000    0.000    0.000 __init__.py:1967(find_distributions)
        2    0.000    0.000    0.000    0.000 summary_op_util.py:15(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
        1    0.000    0.000    0.000    0.000 init_ops.py:140(Constant)
        1    0.000    0.000    0.000    0.000 collective_all_reduce_strategy.py:15(<module>)
        4    0.000    0.000    0.000    0.000 enum.py:800(_create_pseudo_member_)
      463    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.000    0.000 ragged_map_ops.py:15(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:359(_get_scalar_type_map)
       26    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       12    0.000    0.000    0.000    0.000 text_format.py:1525(_ConsumeInt32)
        1    0.000    0.000    0.000    0.000 well_known_types.py:39(<module>)
     10/9    0.000    0.000    0.000    0.000 typing.py:248(inner)
       11    0.000    0.000    0.000    0.000 ragged_operators.py:27(_right)
       41    0.000    0.000    0.000    0.000 ntpath.py:67(isabs)
       34    0.000    0.000    0.000    0.000 variables.py:1058(_OverloadOperator)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:370(<dictcomp>)
       50    0.000    0.000    0.000    0.000 _internal.py:819(_ufunc_doc_signature_formatter)
        1    0.000    0.000    0.000    0.000 containers.py:40(<module>)
      309    0.000    0.000    0.000    0.000 {built-in method sys.getrefcount}
        1    0.000    0.000    0.000    0.000 {resizeWindow}
        2    0.000    0.000    0.000    0.000 versions_pb2.py:5(<module>)
        1    0.000    0.000    0.000    0.000 sync_replicas_optimizer.py:16(<module>)
        1    0.000    0.000    0.000    0.000 generic_utils.py:15(<module>)
      134    0.000    0.000    0.000    0.000 pfor.py:891(__call__)
      152    0.000    0.000    0.000    0.000 numerictypes.py:365(issubdtype)
      338    0.000    0.000    0.000    0.000 typing.py:590(_is_dunder)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
        1    0.000    0.000    0.000    0.000 main_op_impl.py:15(<module>)
        1    0.000    0.000    0.000    0.000 _exceptions.py:7(<module>)
        4    0.000    0.000    0.000    0.000 os.py:681(__setitem__)
       28    0.000    0.000    0.000    0.000 pyparsing.py:3997(__init__)
        1    0.000    0.000    0.000    0.000 gen_stateless_random_ops.py:445(_InitOpDefLibrary)
        6    0.000    0.000    0.000    0.000 lazy.py:42(wrapper)
        2    0.000    0.000    0.000    0.000 adagrad.py:16(<module>)
     12/2    0.000    0.000    0.000    0.000 pyparsing.py:1926(makeOptionalList)
        1    0.000    0.000    0.000    0.000 convolutional_recurrent.py:3(<module>)
        1    0.000    0.000    0.000    0.000 base_layer.py:2514(TensorFlowOpLayer)
        1    0.000    0.000    0.000    0.000 cudnn_recurrent.py:16(<module>)
        1    0.000    0.000    0.000    0.000 serialization.py:16(<module>)
       14    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
        1    0.000    0.000    0.000    0.000 signature_constants.py:17(<module>)
      244    0.000    0.000    0.000    0.000 version.py:65(_compare)
        3    0.000    0.000    0.000    0.000 {built-in method _pywrap_tensorflow_internal.FileExists}
        1    0.000    0.000    0.000    0.000 gen_batch_ops.py:660(_InitOpDefLibrary)
       30    0.000    0.000    0.000    0.000 warnings.py:165(simplefilter)
      165    0.000    0.000    0.000    0.000 sre_parse.py:903(fix_flags)
        1    0.000    0.000    0.000    0.000 layers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 type_spec.py:15(<module>)
       32    0.000    0.000    0.000    0.000 getlimits.py:365(__new__)
        1    0.000    0.000    0.000    0.000 ag_ctx.py:15(<module>)
        1    0.000    0.000    0.000    0.000 state_grad.py:16(<module>)
        1    0.000    0.000    0.000    0.000 data_adapter.py:15(<module>)
        1    0.000    0.000    0.000    0.000 shuffle_ops.py:15(<module>)
        1    0.000    0.000    0.000    0.000 function.py:2187(defun)
        1    0.000    0.000    0.000    0.000 gen_ragged_conversion_ops.py:495(_InitOpDefLibrary)
        1    0.000    0.000    0.000    0.000 sequential.py:17(<module>)
        1    0.000    0.000    0.000    0.000 queue_runner_pb2.py:5(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:664(<listcomp>)
       42    0.000    0.000    0.000    0.000 pyparsing.py:2826(__str__)
        1    0.000    0.000    0.000    0.000 function.py:2529(defun_with_attributes)
        1    0.000    0.000    0.000    0.000 estimator.py:83(Estimator)
       18    0.000    0.000    0.000    0.000 core.py:992(__init__)
        1    0.000    0.000    0.000    0.000 function.py:2564(decorated)
        2    0.000    0.000    0.000    0.000 def_function.py:260(__init__)
        1    0.000    0.000    0.000    0.000 linear_operator_identity.py:15(<module>)
        1    0.000    0.000    0.000    0.000 multi_device_iterator_ops.py:15(<module>)
        7    0.000    0.000    0.000    0.000 monitoring.py:321(__init__)
      334    0.000    0.000    0.000    0.000 descriptor.py:691(__new__)
        1    0.000    0.000    0.000    0.000 one_device_strategy.py:15(<module>)
        1    0.000    0.000    0.000    0.000 simple_save.py:15(<module>)
      600    0.000    0.000    0.000    0.000 __init__.py:1614(isEnabledFor)
      115    0.000    0.000    0.000    0.000 __init__.py:2812(__getattr__)
        1    0.000    0.000    0.000    0.000 type_checkers.py:44(<module>)
        1    0.000    0.000    0.000    0.000 platform.py:533(win32_ver)
        1    0.000    0.000    0.000    0.000 ragged_math_ops.py:15(<module>)
        4    0.000    0.000    0.000    0.000 enum.py:872(_decompose)
        1    0.000    0.000    0.000    0.000 interpreter.py:242(allocate_tensors)
        2    0.000    0.000    0.000    0.000 slices.py:15(<module>)
      438    0.000    0.000    0.000    0.000 six.py:184(find_module)
        1    0.000    0.000    0.000    0.000 quoprimime.py:27(<module>)
      438    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.000    0.000 naming.py:15(<module>)
        1    0.000    0.000    0.000    0.000 grouping.py:15(<module>)
        1    0.000    0.000    0.000    0.000 <string>:411(_InitOpDefLibrary)
       24    0.000    0.000    0.000    0.000 text_format.py:1265(Consume)
      273    0.000    0.000    0.000    0.000 function_base.py:434(_add_docstring)
        1    0.000    0.000    0.000    0.000 decorators.py:4(<module>)
       26    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
        1    0.000    0.000    0.000    0.000 cond_v2.py:20(<module>)
        1    0.000    0.000    0.000    0.000 wrappers.py:17(<module>)
        1    0.000    0.000    0.000    0.000 advanced_activations.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
        1    0.000    0.000    0.000    0.000 iteration_count_estimator.py:20(<module>)
        1    0.000    0.000    0.000    0.000 densenet.py:17(<module>)
        1    0.000    0.000    0.000    0.000 regression_head.py:15(<module>)
        1    0.000    0.000    0.000    0.000 network.py:75(Network)
      307    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
        5    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 saxutils.py:4(<module>)
        1    0.000    0.000    0.000    0.000 error_codes_pb2.py:5(<module>)
        1    0.000    0.000    0.000    0.000 tensorflow_wrap_interpreter_wrapper.py:105(AllocateTensors)
        1    0.000    0.000    0.000    0.000 training.py:81(Model)
        1    0.000    0.000    0.000    0.000 base_head.py:15(<module>)
       35    0.000    0.000    0.000    0.000 warnings.py:181(_add_filter)
      165    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        1    0.000    0.000    0.000    0.000 distribute.py:15(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method _tensorflow_wrap_interpreter_wrapper.InterpreterWrapper_AllocateTensors}
        1    0.000    0.000    0.000    0.000 regularizers.py:16(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:115(_add_aliases)
        1    0.000    0.000    0.000    0.000 tokens.py:2(<module>)
        1    0.000    0.000    0.000    0.000 saved_model_pb2.py:5(<module>)
        1    0.000    0.000    0.000    0.000 gen_set_ops.py:503(_InitOpDefLibrary)
        1    0.000    0.000    0.000    0.000 checkpoint_state_pb2.py:5(<module>)
        1    0.000    0.000    0.000    0.000 init_ops.py:294(RandomNormal)
        1    0.000    0.000    0.000    0.000 gen_ctc_ops.py:386(_InitOpDefLibrary)
        2    0.000    0.000    0.000    0.000 adam.py:15(<module>)
        1    0.000    0.000    0.000    0.000 summary_io.py:29(SummaryWriter)
        1    0.000    0.000    0.000    0.000 polyutils.py:45(<module>)
       72    0.000    0.000    0.000    0.000 _helpers.py:90(get_module_object_and_name)
       19    0.000    0.000    0.000    0.000 os.py:769(getenv)
        1    0.000    0.000    0.000    0.000 init_ops.py:448(VarianceScaling)
        1    0.000    0.000    0.000    0.000 topology_pb2.py:5(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:43(deprecate)
        8    0.000    0.000    0.000    0.000 utils.py:133(_get_indent)
        1    0.000    0.000    0.000    0.000 nest.py:31(<module>)
        5    0.000    0.000    0.000    0.000 six.py:114(_resolve)
        1    0.000    0.000    0.000    0.000 file_io.py:42(FileIO)
      171    0.000    0.000    0.000    0.000 six.py:141(__init__)
        1    0.000    0.000    0.000    0.000 function.py:1767(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:274(load)
        1    0.000    0.000    0.000    0.000 stats_ops.py:15(<module>)
        1    0.000    0.000    0.000    0.000 initializers.py:2(<module>)
        1    0.000    0.000    0.000    0.000 noise.py:16(<module>)
      574    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 feature_column_v2.py:2744(NumericColumn)
       30    0.000    0.000    0.000    0.000 getlimits.py:42(<lambda>)
        1    0.000    0.000    0.000    0.000 dirichlet_multinomial.py:54(DirichletMultinomial)
        7    0.000    0.000    0.000    0.000 wrappers.py:64(__new__)
        1    0.000    0.000    0.000    0.000 serialized_attributes.py:16(<module>)
        1    0.000    0.000    0.000    0.000 local.py:16(<module>)
        1    0.000    0.000    0.000    0.000 gfile.py:16(<module>)
        1    0.000    0.000    0.000    0.000 struct.py:3(<module>)
        1    0.000    0.000    0.000    0.000 beta.py:50(Beta)
        1    0.000    0.000    0.000    0.000 distribution_strategy_context.py:15(<module>)
        1    0.000    0.000    0.000    0.000 bitwise_ops.py:16(<module>)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
      450    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        5    0.000    0.000    0.000    0.000 six.py:819(with_metaclass)
        1    0.000    0.000    0.000    0.000 records.py:35(<module>)
        1    0.000    0.000    0.000    0.000 representer.py:2(<module>)
        1    0.000    0.000    0.000    0.000 versions.py:16(<module>)
        1    0.000    0.000    0.000    0.000 image.py:2(<module>)
       15    0.000    0.000    0.000    0.000 tensor_conversion_registry.py:56(register_tensor_conversion_function)
        1    0.000    0.000    0.000    0.000 merge.py:2(<module>)
      512    0.000    0.000    0.000    0.000 {method 'AddDescriptor' of 'google.protobuf.pyext._message.DescriptorPool' objects}
        1    0.000    0.000    0.000    0.000 imp.py:7(<module>)
        1    0.000    0.000    0.000    0.000 iterator_ops.py:74(Iterator)
        1    0.000    0.000    0.000    0.000 dense_attention.py:19(<module>)
        1    0.000    0.000    0.000    0.000 tfconfig_cluster_resolver.py:15(<module>)
        1    0.000    0.000    0.000    0.000 scan_ops.py:15(<module>)
        1    0.000    0.000    0.000    0.000 rnn_cell.py:18(<module>)
        1    0.000    0.000    0.000    0.000 contextlib.py:71(inner)
      242    0.000    0.000    0.000    0.000 ntpath.py:34(_get_bothseps)
        1    0.000    0.000    0.000    0.000 sysconfig.py:138(is_python_build)
       24    0.000    0.000    0.000    0.000 text_format.py:1329(ConsumeIdentifierOrNumber)
        9    0.000    0.000    0.000    0.000 datetime.py:473(__new__)
       22    0.000    0.000    0.000    0.000 tf_should_use.py:174(should_use_result)
        2    0.000    0.000    0.000    0.000 ftrl.py:15(<module>)
        1    0.000    0.000    0.000    0.000 sysconfig.py:121(_is_python_source_dir)
        1    0.000    0.000    0.000    0.000 enumerate_ops.py:15(<module>)
        1    0.000    0.000    0.000    0.000 distribution.py:278(Distribution)
        1    0.000    0.000    0.000    0.000 init_ops.py:380(UniformUnitScaling)
        1    0.000    0.000    0.000    0.000 feature_column.py:15(<module>)
        1    0.000    0.000    0.000    0.000 process.py:10(<module>)
        1    0.000    0.000    0.000    0.000 feature_column_v2.py:2869(BucketizedColumn)
        1    0.000    0.000    0.000    0.000 tensorflow_server_pb2.py:5(<module>)
        1    0.000    0.000    0.000    0.000 session_support.py:15(<module>)
      124    0.000    0.000    0.000    0.000 version.py:53(__eq__)
        6    0.000    0.000    0.000    0.000 all_util.py:54(<listcomp>)
        1    0.000    0.000    0.000    0.000 server_lib.py:15(<module>)
        1    0.000    0.000    0.000    0.000 multinomial.py:55(Multinomial)
      120    0.000    0.000    0.000    0.000 version.py:47(__lt__)
        1    0.000    0.000    0.000    0.000 _exceptions.py:19(<module>)
       57    0.000    0.000    0.000    0.000 enum.py:335(__getattr__)
       32    0.000    0.000    0.000    0.000 __init__.py:2896(<listcomp>)
        1    0.000    0.000    0.000    0.000 _defines.py:295(DEFINE_integer)
        1    0.000    0.000    0.000    0.000 student_t.py:46(StudentT)
        1    0.000    0.000    0.000    0.000 prefetching_ops.py:15(<module>)
        1    0.000    0.000    0.000    0.000 gamma.py:46(Gamma)
        1    0.000    0.000    0.000    0.000 device_spec.py:15(<module>)
        1    0.000    0.000    0.000    0.000 gc.py:63(<module>)
        1    0.000    0.000    0.000    0.000 cudnn_recurrent.py:2(<module>)
       18    0.000    0.000    0.000    0.000 __init__.py:2378(yield_lines)
        9    0.000    0.000    0.000    0.000 _flag.py:315(__init__)
        1    0.000    0.000    0.000    0.000 learning_rate_decay.py:15(<module>)
        1    0.000    0.000    0.000    0.000 rnn_cell_impl.py:803(LSTMCell)
        2    0.000    0.000    0.000    0.000 __init__.py:42(__getattr__)
        2    0.000    0.000    0.000    0.000 pyparsing.py:4450(delimitedList)
        3    0.000    0.000    0.000    0.000 decorators.py:421(synchronized)
        1    0.000    0.000    0.000    0.000 queue_runner_impl.py:37(QueueRunner)
        1    0.000    0.000    0.000    0.000 session_ops.py:16(<module>)
        1    0.000    0.000    0.000    0.000 constants.py:17(<module>)
        2    0.000    0.000    0.000    0.000 mode_keys.py:16(<module>)
        1    0.000    0.000    0.000    0.000 early_stopping.py:15(<module>)
        1    0.000    0.000    0.000    0.000 local.py:3(<module>)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1512(_array_str_implementation)
        1    0.000    0.000    0.000    0.000 gen_collective_ops.py:452(_InitOpDefLibrary)
        3    0.000    0.000    0.000    0.000 __init__.py:9(<module>)
      340    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      101    0.000    0.000    0.000    0.000 types.py:164(__get__)
        1    0.000    0.000    0.000    0.000 policy.py:15(<module>)
       11    0.000    0.000    0.000    0.000 __init__.py:44(wrap)
        1    0.000    0.000    0.000    0.000 iterator_ops.py:544(IteratorV2)
        1    0.000    0.000    0.000    0.000 coordinator.py:15(<module>)
       15    0.000    0.000    0.000    0.000 math_ops.py:884(_OverrideBinaryOperatorHelper)
      317    0.000    0.000    0.000    0.000 overrides.py:112(array_function_dispatch)
        1    0.000    0.000    0.000    0.000 control_flow_state.py:15(<module>)
        1    0.000    0.000    0.000    0.000 checkpoint_utils.py:15(<module>)
        9    0.000    0.000    0.000    0.000 tf2.py:43(enabled)
        1    0.000    0.000    0.000    0.000 laplace.py:46(Laplace)
        1    0.000    0.000    0.000    0.000 gen_nccl_ops.py:288(_InitOpDefLibrary)
       51    0.000    0.000    0.000    0.000 sre_parse.py:258(getwhile)
       10    0.000    0.000    0.000    0.000 extras.py:237(__init__)
        1    0.000    0.000    0.000    0.000 core.py:32(Dense)
       34    0.000    0.000    0.000    0.000 ops.py:743(_override_operator)
        1    0.000    0.000    0.000    0.000 feature_column.py:1957(_CategoricalColumn)
        1    0.000    0.000    0.000    0.000 feature_column_v2.py:3677(VocabularyListCategoricalColumn)
      180    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
       16    0.000    0.000    0.000    0.000 distribution.py:121(<listcomp>)
        1    0.000    0.000    0.000    0.000 scikit_learn.py:16(<module>)
        1    0.000    0.000    0.000    0.000 ops.py:855(_EagerTensorBase)
       54    0.000    0.000    0.000    0.000 descriptor.py:635(__new__)
        1    0.000    0.000    0.000    0.000 dirichlet.py:48(Dirichlet)
       16    0.000    0.000    0.000    0.000 util.py:1438(__call__)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
        3    0.000    0.000    0.000    0.000 getlimits.py:398(_init)
        6    0.000    0.000    0.000    0.000 numeric.py:2400(extend_all)
        1    0.000    0.000    0.000    0.000 optimization_options.py:15(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1677(MemoizedZipManifests)
        2    0.000    0.000    0.000    0.000 glob.py:114(_iterdir)
        1    0.000    0.000    0.000    0.000 dynamic_padding_pb2.py:5(<module>)
        1    0.000    0.000    0.000    0.000 bsr.py:1(<module>)
       37    0.000    0.000    0.000    0.000 ops.py:159(_override_helper)
      199    0.000    0.000    0.000    0.000 pfor.py:866(__call__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2765(Regex)
       95    0.000    0.000    0.000    0.000 symbol_database.py:116(RegisterFileDescriptor)
        1    0.000    0.000    0.000    0.000 embedding_ops.py:15(<module>)
        1    0.000    0.000    0.000    0.000 data.py:7(<module>)
      314    0.000    0.000    0.000    0.000 version.py:244(<genexpr>)
        1    0.000    0.000    0.000    0.000 sequential_head.py:15(<module>)
      704    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        1    0.000    0.000    0.000    0.000 gen_script_ops.py:285(_InitOpDefLibrary)
       20    0.000    0.000    0.000    0.000 _flagvalues.py:406(__setitem__)
        1    0.000    0.000    0.000    0.000 core.py:6316(__new__)
        1    0.000    0.000    0.000    0.000 wrappers.py:3(<module>)
        1    0.000    0.000    0.000    0.000 normal.py:45(Normal)
      369    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       10    0.000    0.000    0.000    0.000 extras.py:241(getdoc)
        1    0.000    0.000    0.000    0.000 linear_operator_toeplitz.py:15(<module>)
        1    0.000    0.000    0.000    0.000 training_generator.py:16(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:49(<module>)
        4    0.000    0.000    0.000    0.000 enum.py:890(<listcomp>)
      938    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      298    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
        1    0.000    0.000    0.000    0.000 lite.py:1037(TocoConverter)
        1    0.000    0.000    0.000    0.000 gen_audio_microfrontend_op.py:411(_InitOpDefLibrary)
        8    0.000    0.000    0.000    0.000 core.py:8058(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:2302(file_ns_handler)
       16    0.000    0.000    0.000    0.000 re.py:180(search)
       20    0.000    0.000    0.000    0.000 pyparsing.py:2813(parseImpl)
        1    0.000    0.000    0.000    0.000 autocast_variable.py:15(<module>)
      384    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      322    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
        1    0.000    0.000    0.000    0.000 embeddings.py:16(<module>)
      210    0.000    0.000    0.000    0.000 deprecation.py:261(deprecated_wrapper)
        1    0.000    0.000    0.000    0.000 interfaces.py:2(<module>)
        4    0.000    0.000    0.000    0.000 pyparsing.py:1841(__radd__)
        2    0.000    0.000    0.000    0.000 pyparsing.py:1288(addParseAction)
        1    0.000    0.000    0.000    0.000 categorical.py:62(Categorical)
        1    0.000    0.000    0.000    0.000 run_config.py:15(<module>)
        1    0.000    0.000    0.000    0.000 any_pb2.py:5(<module>)
        1    0.000    0.000    0.000    0.000 callbacks_v1.py:17(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:89(<module>)
       15    0.000    0.000    0.000    0.000 arrayprint.py:465(wrapper)
        1    0.000    0.000    0.000    0.000 selections.py:15(<module>)
        1    0.000    0.000    0.000    0.000 gen_clustering_ops.py:278(_InitOpDefLibrary)
        1    0.000    0.000    0.000    0.000 sequence.py:2(<module>)
        1    0.000    0.000    0.000    0.000 sync_replicas_optimizer.py:44(SyncReplicasOptimizer)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
        1    0.000    0.000    0.000    0.000 multi_label_head.py:15(<module>)
    82/80    0.000    0.000    0.000    0.000 pyparsing.py:372(__init__)
        1    0.000    0.000    0.000    0.000 gzip.py:4(<module>)
        4    0.000    0.000    0.000    0.000 flags.py:43(_wrap_define_function)
        1    0.000    0.000    0.000    0.000 tf_utils.py:15(<module>)
      134    0.000    0.000    0.000    0.000 pfor.py:886(__init__)
        1    0.000    0.000    0.000    0.000 noise.py:3(<module>)
        1    0.000    0.000    0.000    0.000 xla_ops.py:224(_InitOpDefLibrary)
        3    0.000    0.000    0.000    0.000 tokenize.py:132(_all_string_prefixes)
        1    0.000    0.000    0.000    0.000 wide_deep.py:15(<module>)
       54    0.000    0.000    0.000    0.000 os.py:743(encodekey)
        1    0.000    0.000    0.000    0.000 function_wrappers.py:15(<module>)
       30    0.000    0.000    0.000    0.000 codecs.py:319(decode)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        1    0.000    0.000    0.000    0.000 constant_op.py:18(<module>)
       15    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
        1    0.000    0.000    0.000    0.000 gen_audio_ops.py:488(_InitOpDefLibrary)
        1    0.000    0.000    0.000    0.000 interpreter.py:15(<module>)
        1    0.000    0.000    0.000    0.000 init_ops.py:334(TruncatedNormal)
        1    0.000    0.000    0.000    0.000 resnet.py:17(<module>)
        1    0.000    0.000    0.000    0.000 init_ops.py:254(RandomUniform)
        1    0.000    0.000    0.000    0.000 return_statements.py:15(<module>)
        1    0.000    0.000    0.000    0.000 tpu_context.py:15(<module>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:79(bitname)
        1    0.000    0.000    0.000    0.000 tempfile.py:24(<module>)
        1    0.000    0.000    0.000    0.000 init_ops.py:100(Zeros)
      266    0.000    0.000    0.000    0.000 pyparsing.py:3270(<genexpr>)
        6    0.000    0.000    0.000    0.000 lazy.py:79(_memoize)
        1    0.000    0.000    0.000    0.000 device_setter.py:15(<module>)
        1    0.000    0.000    0.000    0.000 feature_column_v2.py:3024(EmbeddingColumn)
    13/12    0.000    0.000    0.000    0.000 pyparsing.py:3434(__str__)
        1    0.000    0.000    0.000    0.000 ragged_factory_ops.py:15(<module>)
        1    0.000    0.000    0.000    0.000 multi_class_head.py:15(<module>)
        1    0.000    0.000    0.000    0.000 flags.py:46(wrapper)
        1    0.000    0.000    0.000    0.000 legendre.py:83(<module>)
        8    0.000    0.000    0.000    0.000 core.py:8063(getdoc)
        1    0.000    0.000    0.000    0.000 bernoulli.py:35(Bernoulli)
        1    0.000    0.000    0.000    0.000 sharded_mutable_dense_hashtable.py:15(<module>)
        1    0.000    0.000    0.000    0.000 multi_head.py:15(<module>)
        1    0.000    0.000    0.000    0.000 util.py:10(<module>)
        1    0.000    0.000    0.000    0.000 linear_operator_adjoint.py:15(<module>)
       15    0.000    0.000    0.000    0.000 sre_compile.py:416(_bytes_to_codes)
        1    0.000    0.000    0.000    0.000 metric_keys.py:15(<module>)
        1    0.000    0.000    0.000    0.000 compat.py:19(<module>)
        1    0.000    0.000    0.000    0.000 uniform.py:36(Uniform)
        1    0.000    0.000    0.000    0.000 special_values.py:15(<module>)
        1    0.000    0.000    0.000    0.000 signature_serialization.py:15(<module>)
        4    0.000    0.000    0.000    0.000 typing.py:819(__class_getitem__)
       27    0.000    0.000    0.000    0.000 tf_inspect.py:390(ismethod)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:5(<module>)
        1    0.000    0.000    0.000    0.000 hooks.py:15(<module>)
        1    0.000    0.000    0.000    0.000 feature_column_v2.py:4222(IndicatorColumn)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
        1    0.000    0.000    0.000    0.000 decomp.py:15(<module>)
        1    0.000    0.000    0.000    0.000 hermite_e.py:60(<module>)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
      456    0.000    0.000    0.000    0.000 version.py:298(_parse_letter_version)
        1    0.000    0.000    0.000    0.000 linear_operator_kronecker.py:15(<module>)
        1    0.000    0.000    0.000    0.000 tokenize.py:350(detect_encoding)
        1    0.000    0.000    0.000    0.000 hermite.py:60(<module>)
        1    0.000    0.000    0.000    0.000 feature_column_v2.py:2414(CategoricalColumn)
        1    0.000    0.000    0.000    0.000 rnn_cell_impl.py:635(BasicLSTMCell)
        1    0.000    0.000    0.000    0.000 linear_operator_zeros.py:15(<module>)
        1    0.000    0.000    0.000    0.000 embeddings.py:2(<module>)
        1    0.000    0.000    0.000    0.000 format.py:163(<module>)
        1    0.000    0.000    0.000    0.000 init_ops.py:545(Orthogonal)
        1    0.000    0.000    0.000    0.000 linear_operator_low_rank_update.py:15(<module>)
        1    0.000    0.000    0.000    0.000 python_state.py:1(<module>)
       11    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.000    0.000 laguerre.py:60(<module>)
        5    0.000    0.000    0.000    0.000 six.py:826(__new__)
        1    0.000    0.000    0.000    0.000 encoder.py:79(__init__)
        1    0.000    0.000    0.000    0.000 constraints.py:2(<module>)
        2    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 _structures.py:4(<module>)
        1    0.000    0.000    0.000    0.000 gen_ragged_math_ops.py:136(_InitOpDefLibrary)
        1    0.000    0.000    0.000    0.000 resnet_v2.py:17(<module>)
        1    0.000    0.000    0.000    0.000 gen_checkpoint_ops.py:313(_InitOpDefLibrary)
