         3031009 function calls (2949432 primitive calls) in 18.465 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2188    0.005    0.000    0.206    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
2280/2274    0.004    0.000    0.205    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
        1    0.000    0.000    0.205    0.205 np_utils.py:1(<module>)
        1    0.000    0.000    0.204    0.204 __init__.py:106(<module>)
        1    0.000    0.000    0.201    0.201 network.py:1109(save)
        1    0.000    0.000    0.201    0.201 saving.py:497(save_model)
     2188    0.197    0.000    0.197    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.191    0.191 batching.py:15(<module>)
        9    0.191    0.021    0.191    0.021 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.188    0.188 dataset_ops.py:15(<module>)
        4    0.000    0.000    0.188    0.047 __init__.py:17(<module>)
     2155    0.004    0.000    0.187    0.000 training_utils.py:610(is_generator_or_sequence)
     2155    0.031    0.000    0.181    0.000 training_utils.py:596(is_sequence)
     2155    0.001    0.000    0.178    0.000 training.py:363(_make_predict_function)
        1    0.000    0.000    0.177    0.177 activations.py:15(<module>)
        1    0.000    0.000    0.177    0.177 tensorflow_backend.py:3004(function)
        1    0.000    0.000    0.177    0.177 backend.py:3752(function)
        1    0.000    0.000    0.177    0.177 backend.py:3606(__init__)
        1    0.008    0.008    0.167    0.167 saving.py:73(_serialize_model)
        1    0.002    0.002    0.162    0.162 lift_to_graph.py:205(lift_to_graph)
        2    0.000    0.000    0.158    0.079 graph_pb2.py:5(<module>)
     2188    0.003    0.000    0.155    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
  208/137    0.001    0.000    0.154    0.001 variables.py:256(__call__)
        1    0.000    0.000    0.153    0.153 multi_gpu_utils.py:15(<module>)
     2155    0.012    0.000    0.152    0.000 training.py:470(_standardize_user_data)
       71    0.000    0.000    0.151    0.002 tensorflow_backend.py:592(variable)
       71    0.001    0.000    0.151    0.002 backend.py:768(variable)
     4493    0.149    0.000    0.149    0.000 {built-in method builtins.dir}
       71    0.000    0.000    0.148    0.002 variables.py:221(_variable_v2_call)
       71    0.000    0.000    0.147    0.002 variables.py:235(<lambda>)
       71    0.000    0.000    0.147    0.002 variable_scope.py:2526(default_variable_creator_v2)
       71    0.000    0.000    0.146    0.002 resource_variable_ops.py:1307(__init__)
       71    0.004    0.000    0.146    0.002 resource_variable_ops.py:1408(_init_from_args)
     4310    0.007    0.000    0.144    0.000 network.py:447(stateful)
       71    0.000    0.000    0.143    0.002 <frozen importlib._bootstrap_external>:1040(create_module)
       71    0.138    0.002    0.143    0.002 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.143    0.143 importer.py:15(<module>)
        1    0.000    0.000    0.142    0.142 function.py:19(<module>)
     1756    0.003    0.000    0.139    0.000 tf_inspect.py:238(getfullargspec)
        2    0.000    0.000    0.136    0.068 iterator_ops.py:15(<module>)
        1    0.000    0.000    0.136    0.136 training.py:32(compile)
     1224    0.002    0.000    0.136    0.000 tf_export.py:383(kwarg_only)
     2155    0.006    0.000    0.135    0.000 generic_utils.py:528(slice_arrays)
     1756    0.021    0.000    0.133    0.000 inspect.py:1089(getfullargspec)
     4310    0.079    0.000    0.133    0.000 network.py:449(<listcomp>)
2978/2954    0.042    0.000    0.132    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.129    0.129 __init__.py:33(<module>)
  250/244    0.000    0.000    0.128    0.001 dispatch.py:177(wrapper)
     2155    0.126    0.000    0.126    0.000 generic_utils.py:555(<listcomp>)
       71    0.000    0.000    0.123    0.002 resource_variable_ops.py:181(eager_safe_variable_handle)
      218    0.006    0.000    0.122    0.001 lift_to_graph.py:62(_copy_non_source)
       71    0.002    0.000    0.122    0.002 resource_variable_ops.py:133(variable_handle_from_shape_and_dtype)
     1301    0.003    0.000    0.118    0.000 tf_inspect.py:98(getargspec)
        1    0.000    0.000    0.117    0.117 optional_ops.py:15(<module>)
     2156    0.009    0.000    0.113    0.000 nest.py:416(pack_sequence_as)
     1301    0.003    0.000    0.113    0.000 tf_inspect.py:55(_getargspec)
      789    0.011    0.000    0.107    0.000 ops.py:1570(_create_c_op)
1902/1840    0.007    0.000    0.106    0.000 inspect.py:2198(_signature_from_callable)
        1    0.000    0.000    0.106    0.106 structure.py:15(<module>)
     2305    0.003    0.000    0.104    0.000 tensor_conversion_registry.py:50(_default_conversion_function)
        5    0.000    0.000    0.102    0.020 Blaze_profile.py:30(convblock)
523294/523285    0.098    0.000    0.100    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.098    0.098 template.py:15(<module>)
        1    0.000    0.000    0.098    0.098 base_layer.py:16(<module>)
        2    0.000    0.000    0.097    0.049 util.py:1(<module>)
     1840    0.023    0.000    0.096    0.000 inspect.py:2117(_signature_from_function)
        1    0.000    0.000    0.095    0.095 pywrap_tensorflow_internal.py:11(<module>)
        1    0.000    0.000    0.095    0.095 graph_view.py:1(<module>)
       21    0.000    0.000    0.094    0.004 convolutional.py:155(call)
        1    0.000    0.000    0.094    0.094 optimizer.py:16(<module>)
     2467    0.004    0.000    0.089    0.000 re.py:271(_compile)
        1    0.000    0.000    0.089    0.089 network.py:1154(save_weights)
        1    0.000    0.000    0.088    0.088 training.py:658(_prepare_total_loss)
        1    0.000    0.000    0.087    0.087 pywrap_tensorflow_internal.py:13(swig_import_helper)
        1    0.007    0.007    0.086    0.086 saving.py:730(save_weights_to_hdf5_group)
     1676    0.001    0.000    0.086    0.000 re.py:232(compile)
      244    0.001    0.000    0.086    0.000 resource_variable_ops.py:605(_read_variable_op)
        1    0.000    0.000    0.085    0.085 imp.py:219(load_module)
        1    0.000    0.000    0.085    0.085 imp.py:330(load_dynamic)
        1    0.000    0.000    0.085    0.085 <frozen importlib._bootstrap>:686(_load)
13335/8663    0.007    0.000    0.085    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.085    0.085 resource_variable_ops.py:15(<module>)
        1    0.000    0.000    0.084    0.084 io_utils.py:1(<module>)
        8    0.000    0.000    0.084    0.010 __init__.py:8(<module>)
     2188    0.083    0.000    0.083    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.000    0.000    0.083    0.083 __init__.py:13(<module>)
      168    0.001    0.000    0.082    0.000 sre_compile.py:759(compile)
       66    0.000    0.000    0.081    0.001 resource_variable_ops.py:518(value)
      219    0.000    0.000    0.080    0.000 tensorflow_backend.py:2930(batch_get_value)
      156    0.002    0.000    0.080    0.001 io_utils.py:215(__setitem__)
      219    0.000    0.000    0.080    0.000 backend.py:3282(batch_get_value)
      178    0.001    0.000    0.080    0.000 resource_variable_ops.py:575(numpy)
   213709    0.054    0.000    0.080    0.000 {built-in method builtins.isinstance}
      219    0.000    0.000    0.079    0.000 backend.py:3296(<listcomp>)
       62    0.000    0.000    0.078    0.001 resource_variable_ops.py:1788(_dense_var_to_tensor)
       62    0.000    0.000    0.078    0.001 resource_variable_ops.py:1205(_dense_var_to_tensor)
    71/50    0.000    0.000    0.078    0.002 <frozen importlib._bootstrap_external>:1048(exec_module)
    71/50    0.011    0.000    0.077    0.002 {built-in method _imp.exec_dynamic}
      244    0.001    0.000    0.076    0.000 gen_resource_variable_ops.py:545(read_variable_op)
      178    0.002    0.000    0.076    0.000 resource_variable_ops.py:618(read_value)
     2156    0.009    0.000    0.074    0.000 nest.py:384(_packed_nest_with_indices)
        4    0.000    0.000    0.070    0.018 metrics_utils.py:39(decorated)
        2    0.000    0.000    0.069    0.034 ops.py:15(<module>)
     1542    0.044    0.000    0.066    0.000 c_api_util.py:176(tf_output)
5929/3593    0.007    0.000    0.066    0.000 contextlib.py:107(__enter__)
      142    0.001    0.000    0.065    0.000 gen_resource_variable_ops.py:1382(var_handle_op)
        2    0.000    0.000    0.065    0.032 __init__.py:3(<module>)
        4    0.000    0.000    0.063    0.016 metrics.py:158(update_state)
        1    0.000    0.000    0.062    0.062 ragged_batch_gather_with_default_op.py:15(<module>)
      856    0.001    0.000    0.060    0.000 func_graph.py:550(capture)
        1    0.000    0.000    0.060    0.060 imdb.py:16(<module>)
        1    0.000    0.000    0.059    0.059 v1.py:19(<module>)
5217/5049    0.028    0.000    0.058    0.000 base_layer.py:1211(__setattr__)
        1    0.001    0.001    0.058    0.058 ragged_dispatch.py:15(<module>)
       16    0.000    0.000    0.058    0.004 convolutional.py:1806(build)
        1    0.000    0.000    0.057    0.057 vis_utils.py:1(<module>)
      132    0.001    0.000    0.057    0.000 func_graph.py:608(_capture_helper)
       16    0.000    0.000    0.056    0.004 convolutional.py:1843(call)
       16    0.000    0.000    0.056    0.004 tensorflow_backend.py:3896(depthwise_conv2d)
     8899    0.015    0.000    0.056    0.000 inspect.py:2467(__init__)
        1    0.000    0.000    0.056    0.056 models.py:2(<module>)
       16    0.000    0.000    0.056    0.004 nn_impl.py:830(depthwise_conv2d_v2)
       16    0.000    0.000    0.056    0.004 nn_impl.py:735(depthwise_conv2d)
        2    0.000    0.000    0.056    0.028 __init__.py:3233(_call_aside)
        1    0.000    0.000    0.056    0.056 __init__.py:3250(_initialize_master_working_set)
      124    0.001    0.000    0.055    0.000 func_graph.py:1048(_create_substitute_placeholder)
        1    0.000    0.000    0.055    0.055 image.py:18(<module>)
     1409    0.002    0.000    0.055    0.000 ops.py:686(_as_tf_output)
        2    0.000    0.000    0.054    0.027 image.py:2(<module>)
     2280    0.010    0.000    0.053    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
      183    0.001    0.000    0.053    0.000 array_ops.py:176(identity)
      101    0.001    0.000    0.052    0.001 math_ops.py:896(binary_op_wrapper)
       21    0.000    0.000    0.052    0.002 tensorflow_backend.py:3678(conv2d)
       21    0.000    0.000    0.051    0.002 nn_ops.py:901(convolution_v2)
       21    0.000    0.000    0.051    0.002 nn_ops.py:942(convolution_internal)
       21    0.001    0.000    0.050    0.002 gen_nn_ops.py:955(conv2d)
    11573    0.041    0.000    0.049    0.000 enum.py:284(__call__)
     2155    0.020    0.000    0.049    0.000 training_utils.py:39(standardize_input_data)
3931/3063    0.005    0.000    0.048    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       74    0.001    0.000    0.048    0.001 npyio.py:291(load)
        6    0.000    0.000    0.048    0.008 tensorflow_backend.py:1677(sum)
        6    0.000    0.000    0.048    0.008 math_ops.py:1530(reduce_sum)
      192    0.002    0.000    0.048    0.000 attrs.py:92(__setitem__)
      178    0.001    0.000    0.048    0.000 ops.py:1013(_copy)
        1    0.000    0.000    0.047    0.047 data_utils.py:1(<module>)
      168    0.001    0.000    0.046    0.000 sre_parse.py:919(parse)
        1    0.000    0.000    0.046    0.046 training.py:2(<module>)
      178    0.000    0.000    0.046    0.000 ops.py:998(_copy_nograd)
      192    0.021    0.000    0.046    0.000 attrs.py:107(create)
       37    0.000    0.000    0.046    0.001 tensorflow_backend.py:99(eager_fn_wrapper)
      232    0.001    0.000    0.045    0.000 deprecation.py:473(new_func)
      178    0.045    0.000    0.045    0.000 {method '_copy_to_device' of 'tensorflow.python.framework.ops.EagerTensor' objects}
        6    0.000    0.000    0.045    0.008 gen_math_ops.py:11121(_sum)
       37    0.000    0.000    0.045    0.001 base_layer.py:1092(set_weights)
  595/168    0.002    0.000    0.045    0.000 sre_parse.py:417(_parse_sub)
     2729    0.037    0.000    0.045    0.000 tf_stack.py:141(extract_stack)
        1    0.001    0.001    0.044    0.044 math_ops.py:68(<module>)
  933/177    0.016    0.000    0.044    0.000 sre_parse.py:475(_parse)
     4376    0.015    0.000    0.043    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
     3312    0.002    0.000    0.043    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
      124    0.002    0.000    0.042    0.000 graph_only_ops.py:41(graph_placeholder)
       21    0.000    0.000    0.042    0.002 tensorflow_backend.py:4240(bias_add)
        1    0.000    0.000    0.041    0.041 array_ops.py:16(<module>)
    21126    0.015    0.000    0.041    0.000 {built-in method builtins.any}
       21    0.000    0.000    0.041    0.002 nn_ops.py:2685(bias_add)
        1    0.000    0.000    0.040    0.040 training_utils.py:2(<module>)
        1    0.000    0.000    0.040    0.040 lite.py:15(<module>)
2230/2229    0.005    0.000    0.040    0.000 network.py:312(__setattr__)
        1    0.000    0.000    0.040    0.040 training.py:16(<module>)
      279    0.020    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
        1    0.000    0.000    0.040    0.040 metrics.py:2(<module>)
       74    0.001    0.000    0.039    0.001 format.py:678(read_array)
    16808    0.015    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      340    0.016    0.000    0.038    0.000 __init__.py:316(namedtuple)
   107168    0.038    0.000    0.038    0.000 {method 'append' of 'list' objects}
      317    0.001    0.000    0.037    0.000 overrides.py:154(decorator)
        1    0.000    0.000    0.037    0.037 requirements.py:4(<module>)
        3    0.000    0.000    0.036    0.012 __init__.py:2(<module>)
     6468    0.005    0.000    0.036    0.000 nest.py:164(_yield_value)
        1    0.000    0.000    0.036    0.036 cross_device_ops.py:15(<module>)
       16    0.000    0.000    0.035    0.002 __init__.py:611(add_entry)
       74    0.001    0.000    0.034    0.000 format.py:553(_read_array_header)
      168    0.000    0.000    0.034    0.000 sre_compile.py:598(_code)
        1    0.000    0.000    0.034    0.034 gen_boosted_trees_ops.py:5(<module>)
        1    0.000    0.000    0.034    0.034 tpu_strategy.py:15(<module>)
       22    0.000    0.000    0.033    0.002 core.py:708(call)
     3574    0.010    0.000    0.033    0.000 tf_export.py:255(__init__)
        3    0.000    0.000    0.033    0.011 save.py:15(<module>)
      281    0.004    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
      375    0.033    0.000    0.033    0.000 {built-in method nt.listdir}
     2724    0.003    0.000    0.033    0.000 <frozen importlib._bootstrap>:147(__enter__)
        1    0.000    0.000    0.032    0.032 hdf5_format.py:17(<module>)
     4446    0.003    0.000    0.032    0.000 <frozen importlib._bootstrap>:403(cached)
        1    0.000    0.000    0.032    0.032 summary.py:29(<module>)
       22    0.000    0.000    0.032    0.001 Blaze_profile.py:46(<lambda>)
       22    0.000    0.000    0.032    0.001 Blaze_profile.py:21(channel_pad)
       94    0.000    0.000    0.032    0.000 __init__.py:2037(find_on_path)
        1    0.000    0.000    0.031    0.031 stats_options.py:17(<module>)
        1    0.000    0.000    0.031    0.031 cross_device_utils.py:15(<module>)
     6468    0.012    0.000    0.031    0.000 nest.py:169(_yield_sorted_items)
        1    0.000    0.000    0.031    0.031 stats_aggregator.py:15(<module>)
        1    0.000    0.000    0.031    0.031 summary_v2.py:26(<module>)
        2    0.000    0.000    0.030    0.015 tensor_util.py:15(<module>)
      789    0.015    0.000    0.030    0.000 ops.py:3465(_create_op_helper)
        1    0.000    0.000    0.030    0.030 training_arrays.py:16(<module>)
     9269    0.008    0.000    0.030    0.000 ops.py:5861(get_default_graph)
     6683    0.008    0.000    0.030    0.000 tensorflow_backend.py:702(is_tensor)
     5890    0.014    0.000    0.030    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     2258    0.004    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
       59    0.000    0.000    0.029    0.000 lift_to_graph.py:145(_copy_source)
     4310    0.029    0.000    0.029    0.000 {built-in method numpy.zeros}
        1    0.000    0.000    0.029    0.029 __init__.py:189(<module>)
        3    0.000    0.000    0.029    0.010 files.py:316(__init__)
      116    0.003    0.000    0.029    0.000 group.py:71(create_dataset)
      116    0.008    0.000    0.029    0.000 dataset.py:584(__setitem__)
       15    0.000    0.000    0.029    0.002 six.py:91(__get__)
       15    0.000    0.000    0.029    0.002 six.py:80(_import_module)
       10    0.000    0.000    0.029    0.003 six.py:159(_resolve)
        1    0.000    0.000    0.029    0.029 model_config.py:17(<module>)
       93    0.000    0.000    0.028    0.000 io_utils.py:186(__init__)
    13/12    0.000    0.000    0.028    0.002 <frozen importlib._bootstrap>:634(_load_backward_compatible)
        6    0.000    0.000    0.028    0.005 __init__.py:35(load_module)
       39    0.000    0.000    0.028    0.001 gen_math_ops.py:11053(sub)
     2438    0.011    0.000    0.028    0.000 tf_decorator.py:67(make_decorator)
        2    0.000    0.000    0.028    0.014 app.py:16(<module>)
        2    0.002    0.001    0.028    0.014 network.py:846(get_config)
    16579    0.006    0.000    0.028    0.000 abc.py:137(__instancecheck__)
       53    0.000    0.000    0.027    0.001 interfaces.py:27(wrapper)
       74    0.002    0.000    0.027    0.000 format.py:512(_filter_header)
        1    0.000    0.000    0.027    0.027 request.py:68(<module>)
        1    0.000    0.000    0.027    0.027 test.py:22(<module>)
       11    0.000    0.000    0.026    0.002 core.py:667(compute_output_shape)
        2    0.000    0.000    0.026    0.013 losses.py:44(__call__)
       16    0.000    0.000    0.026    0.002 nn_ops.py:326(with_space_to_batch)
        2    0.026    0.013    0.026    0.013 files.py:153(make_fid)
        1    0.000    0.000    0.025    0.025 training.py:844(_handle_metrics)
        1    0.000    0.000    0.025    0.025 feature_column_lib.py:15(<module>)
        4    0.000    0.000    0.025    0.006 training.py:823(_handle_per_output_metrics)
        2    0.000    0.000    0.025    0.013 training_utils.py:1015(call_metric_function)
     2155    0.004    0.000    0.025    0.000 <__array_function__ internals>:2(expand_dims)
        1    0.000    0.000    0.025    0.025 values.py:15(<module>)
 1492/168    0.007    0.000    0.025    0.000 sre_compile.py:71(_compile)
       71    0.000    0.000    0.025    0.000 ops.py:3304(create_op)
        1    0.000    0.000    0.025    0.025 app.py:26(<module>)
       92    0.002    0.000    0.025    0.000 io_utils.py:276(__getitem__)
       19    0.000    0.000    0.025    0.001 __init__.py:7(<module>)
        1    0.000    0.000    0.024    0.024 cudnn_rnn_grad.py:15(<module>)
        1    0.000    0.000    0.024    0.024 converter.py:60(<module>)
        1    0.000    0.000    0.024    0.024 test_util.py:17(<module>)
5929/3593    0.007    0.000    0.024    0.000 contextlib.py:116(__exit__)
      832    0.004    0.000    0.024    0.000 func_graph.py:361(inner_cm)
        1    0.000    0.000    0.024    0.024 variables.py:15(<module>)
        1    0.000    0.000    0.024    0.024 training.py:19(<module>)
       52    0.001    0.000    0.023    0.000 op_def_library.py:302(add_op_list)
       71    0.000    0.000    0.023    0.000 gen_logging_ops.py:31(_assert)
        1    0.000    0.000    0.023    0.023 distribute_lib.py:92(<module>)
        1    0.000    0.000    0.023    0.023 dense_features_v2.py:15(<module>)
     3472    0.007    0.000    0.023    0.000 tf_export.py:312(__call__)
        4    0.000    0.000    0.023    0.006 core.py:401(call)
       92    0.001    0.000    0.023    0.000 saving.py:664(save_attributes_to_hdf5_group)
     1224    0.003    0.000    0.023    0.000 op_def_library.py:291(add_op)
        2    0.000    0.000    0.022    0.011 loss_scale_optimizer.py:15(<module>)
