         1441894 function calls (1343749 primitive calls) in 26.781 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      235    0.001    0.000    0.088    0.000 __init__.py:2290(fixup_namespace_packages)
        1    0.000    0.000    0.087    0.087 __init__.py:13(<module>)
        1    0.000    0.000    0.084    0.084 resource_variable_ops.py:15(<module>)
     1681    0.002    0.000    0.084    0.000 tf_inspect.py:238(getfullargspec)
      528    0.001    0.000    0.081    0.000 <frozen importlib._bootstrap_external>:421(_find_module_shim)
      492    0.003    0.000    0.081    0.000 __init__.py:2578(from_location)
        1    0.000    0.000    0.080    0.080 imdb.py:16(<module>)
      528    0.000    0.000    0.080    0.000 <frozen importlib._bootstrap_external>:1339(find_loader)
     1681    0.016    0.000    0.080    0.000 inspect.py:1089(getfullargspec)
        1    0.000    0.000    0.079    0.079 optional_ops.py:15(<module>)
     1302    0.003    0.000    0.077    0.000 tf_inspect.py:98(getargspec)
        1    0.000    0.000    0.074    0.074 image.py:18(<module>)
      893    0.002    0.000    0.074    0.000 re.py:271(_compile)
     1943    0.073    0.000    0.073    0.000 {method 'read' of '_io.FileIO' objects}
     1302    0.002    0.000    0.072    0.000 tf_inspect.py:55(_getargspec)
        7    0.000    0.000    0.072    0.010 __init__.py:6(<module>)
      192    0.000    0.000    0.071    0.000 re.py:232(compile)
      190    0.001    0.000    0.070    0.000 sre_compile.py:759(compile)
        1    0.000    0.000    0.069    0.069 v1.py:19(<module>)
    74/59    0.000    0.000    0.068    0.001 <frozen importlib._bootstrap_external>:1048(exec_module)
    74/59    0.010    0.000    0.068    0.001 {built-in method _imp.exec_dynamic}
        2    0.000    0.000    0.068    0.034 ops.py:15(<module>)
        1    0.000    0.000    0.068    0.068 crypto.py:1(<module>)
        1    0.000    0.000    0.068    0.068 structure.py:15(<module>)
      752    0.066    0.000    0.066    0.000 {built-in method nt.listdir}
     2047    0.007    0.000    0.065    0.000 inspect.py:2198(_signature_from_callable)
     1060    0.002    0.000    0.064    0.000 __init__.py:2765(_get_metadata)
        1    0.060    0.060    0.060    0.060 {built-in method numpy.fromfile}
        1    0.000    0.000    0.059    0.059 cross_device_ops.py:15(<module>)
        3    0.000    0.000    0.057    0.019 base.py:5(<module>)
      204    0.000    0.000    0.057    0.000 __init__.py:2982(_reload_version)
     2047    0.024    0.000    0.056    0.000 inspect.py:2117(_signature_from_function)
      204    0.000    0.000    0.056    0.000 __init__.py:2770(_get_version)
      204    0.000    0.000    0.056    0.000 __init__.py:2548(_version_from_file)
        1    0.000    0.000    0.055    0.055 pywrap_tensorflow_internal.py:11(<module>)
        1    0.000    0.000    0.054    0.054 cross_device_utils.py:15(<module>)
        1    0.000    0.000    0.052    0.052 hdf5_format.py:17(<module>)
        1    0.000    0.000    0.051    0.051 training.py:16(<module>)
     1677    0.001    0.000    0.050    0.000 {built-in method builtins.next}
     2039    0.009    0.000    0.046    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        1    0.000    0.000    0.046    0.046 values.py:15(<module>)
        4    0.000    0.000    0.045    0.011 imp.py:330(load_dynamic)
        4    0.000    0.000    0.045    0.011 <frozen importlib._bootstrap>:686(_load)
     2155    0.002    0.000    0.044    0.000 interpreter.py:332(set_tensor)
    17/16    0.000    0.000    0.042    0.003 <frozen importlib._bootstrap>:634(_load_backward_compatible)
        1    0.000    0.000    0.042    0.042 training_arrays.py:16(<module>)
        6    0.000    0.000    0.042    0.007 __init__.py:35(load_module)
        1    0.000    0.000    0.042    0.042 lite.py:15(<module>)
        1    0.000    0.000    0.042    0.042 pywrap_tensorflow_internal.py:13(swig_import_helper)
     2155    0.001    0.000    0.042    0.000 tensorflow_wrap_interpreter_wrapper.py:135(SetTensor)
        1    0.000    0.000    0.042    0.042 extensions.py:5(<module>)
        2    0.000    0.000    0.041    0.020 imp.py:219(load_module)
       19    0.001    0.000    0.041    0.002 __init__.py:7(<module>)
     3243    0.002    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
     2155    0.040    0.000    0.040    0.000 {built-in method _tensorflow_wrap_interpreter_wrapper.InterpreterWrapper_SetTensor}
      190    0.001    0.000    0.039    0.000 sre_parse.py:919(parse)
        1    0.000    0.000    0.039    0.039 math_ops.py:68(<module>)
        1    0.000    0.000    0.039    0.039 backend.py:5(<module>)
      273    0.020    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
