         3736770 function calls (3535359 primitive calls) in 18.023 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      512    0.001    0.000    0.196    0.000 __init__.py:2037(find_on_path)
        3    0.000    0.000    0.193    0.064 __init__.py:20(<module>)
        1    0.000    0.000    0.186    0.186 control_flow.py:56(<module>)
2116/2109    0.004    0.000    0.185    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
        1    0.000    0.000    0.184    0.184 py_builtins.py:18(<module>)
        1    0.000    0.000    0.177    0.177 np_utils.py:1(<module>)
        1    0.000    0.000    0.176    0.176 __init__.py:106(<module>)
     2021    0.005    0.000    0.175    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
        1    0.000    0.000    0.170    0.170 __init__.py:82(<module>)
     2021    0.167    0.000    0.167    0.000 {built-in method marshal.loads}
        1    0.005    0.005    0.167    0.167 saving.py:44(_serialize_model)
       63    0.001    0.000    0.162    0.003 tensorflow_backend.py:383(variable)
   126/63    0.000    0.000    0.160    0.003 variables.py:255(__call__)
       63    0.000    0.000    0.160    0.003 variables.py:179(_variable_v1_call)
       63    0.000    0.000    0.159    0.003 variables.py:196(<lambda>)
       63    0.001    0.000    0.159    0.003 variable_scope.py:2463(default_variable_creator)
     2618    0.005    0.000    0.159    0.000 tf_inspect.py:238(getfullargspec)
       63    0.000    0.000    0.158    0.003 variables.py:1571(__init__)
       63    0.002    0.000    0.158    0.003 variables.py:1691(_init_from_args)
     2155    0.013    0.000    0.157    0.000 training.py:649(_standardize_user_data)
    10762    0.046    0.000    0.156    0.000 ops.py:5472(get_controller)
20226/8660    0.020    0.000    0.156    0.000 contextlib.py:107(__enter__)
     2155    0.005    0.000    0.154    0.000 training_utils.py:638(is_generator_or_sequence)
      984    0.003    0.000    0.154    0.000 __init__.py:2124(distributions_from_metadata)
       37    0.000    0.000    0.152    0.004 initializers.py:201(__call__)
     2618    0.033    0.000    0.150    0.000 inspect.py:1089(getfullargspec)
       37    0.000    0.000    0.149    0.004 tensorflow_backend.py:4413(random_uniform)
     2155    0.030    0.000    0.147    0.000 training_utils.py:624(is_sequence)
       37    0.001    0.000    0.146    0.004 random_ops.py:186(random_uniform)
     4310    0.007    0.000    0.138    0.000 network.py:441(stateful)
        1    0.000    0.000    0.137    0.137 batching.py:15(<module>)
        1    0.000    0.000    0.134    0.134 dataset_ops.py:15(<module>)
3400/3379    0.040    0.000    0.133    0.000 {built-in method builtins.__build_class__}
    73/72    0.000    0.000    0.132    0.002 <frozen importlib._bootstrap_external>:1040(create_module)
    73/72    0.125    0.002    0.131    0.002 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.131    0.131 importer.py:15(<module>)
        1    0.000    0.000    0.129    0.129 function.py:19(<module>)
     4310    0.071    0.000    0.128    0.000 network.py:443(<listcomp>)
      109    0.002    0.000    0.121    0.001 __init__.py:5(<module>)
     2021    0.120    0.000    0.120    0.000 {method 'read' of '_io.FileIO' objects}
     4692    0.117    0.000    0.117    0.000 {built-in method builtins.dir}
3116/3062    0.011    0.000    0.115    0.000 inspect.py:2198(_signature_from_callable)
        9    0.000    0.000    0.114    0.013 __init__.py:8(<module>)
